POS Item Number,POS Item Name,POS UPC,Mfg Name,Mfg Item Number,Regular Price
2806,NUMBER BALANCE W/ 20 WEIGHTS,,Educational Insights,EI1070,29.99
2807,HANG-UP RATTLES ASST DISC,,Corolle Dolls,N8195,19.99
2808,FOOTPRINT ANALYSIS EC disc,,Pierre Belvedere,289260,21.99
2809,ROCK'N'RIDE RALPH WOWdisc,,Pierre Belvedere,101708,19.99
2810,ACTIVITY TEETHER disc,,Pierre Belvedere,864250,11.99
2811,MUSIC BASICS BOOKMARKS,,MCDONALD PUBLISHING CO,McK1150,4.99
2812,XXLARGE PLASTIC BAGS,,Playmobil USA,87052,0
2813,SMILE! TAGGIES CAMERA disc,,"International Playthings, Inc.",E00914,19.99
2814,GO GO TAGGIES CAR DISC,,"International Playthings, Inc.",E00915,25.99
2815,CHIME SET ERIC CARLE,,Kids Preferred,55124,14.99
2816,DEV. CATERPILLAR E. CARLE disc,,Kids Preferred,96618,19.99
2817,DEV ELEPHANT ERIC CARLE,,Kids Preferred,96625,19.99
2818,HIBERNATION  GR 2/3 disc,,Rainbow Horizons Publishers,JSLA24,16
2819,MONTH BY MONTH PHON GR 5 disc,,Carson Dellosa Publishing,CD104242,19.99
2820,DINO CHECKERS,,Educational Insights,EI3006,22.99
2821,CANADIAN COMMUNITIES disc,,S&S WORLDWIDE,SET-22,44.99
2822,FORCE ENERGY & MOTION disc,,K'NEX Brands,78790,149.99
2823,DINOSAURS 20 BUILDING SET disc,,K'NEX Brands,12049,31.99
2824,SPY MIRROR,064049689527,,03-SM13,1.99
2825,SPIDER SCARF DRESS W/ HAT disc,,Creative Education of Canada,34195,47.99
2826,SPIDER CAPE & HAT disc,,Creative Education of Canada,51703,34.99
2827,SUPER SNOW FRIENDS STICKERS,,Trend Enterprises,T46065,2.99
2828,JUNGLE FUN CALENDAR,,Trend Enterprises,T8222,19.99
2829,CURSIVE ALPHABET CHART,,Trend Enterprises,T38137,2.99
2830,WELCOME BANNER- VERTICAL,,Trend Enterprises,T25004,6.99
2831,ANIMALS BINGO,,Trend Enterprises,T6077,12.99
2832,PLACE VALUE BINGO,,Trend Enterprises,T6078,12.99
2833,"PAT THE BUNNY 12"" PLUSH disc",,Kids Preferred,45000,19.99
2834,PAT THE BUNNY BOARD BOOK,,Kids Preferred,45011,14.99
2835,BATHTUB SQUIRT TOY SET CARLE,,Kids Preferred,96258,12.99
2836,TOY ORGANIZER  HUNGRY CATERPIL,,Kids Preferred,96260,14.99
2837,HUNGRY CATERPILLAR SOFT BOOK,,Kids Preferred,96680,18.99
2838,ABC 123 BATH SET DISC,,Kids Preferred,96682,12.99
2839,"EMILY BEANIE 8"" disc",,Kids Preferred,95209,13.5
