POS Item Number,POS Item Name,POS UPC,Mfg Name,Mfg Item Number,Regular Price,,,,,,
799,Valentine Tattoos,6.43356E+11,Peacable Kingdom Press,VPS34,12.99,,,,,,
811,Modarri 3 Car Pack,,Modarri - ThoughtFull Toys,1101,49.99,,,,,,
812,Year of the Dragon,9.7816E+12,,9.7816E+12,15.95,,,,,,
832,Big O'Ball,8.34282E+11,Mary Meyer Corporation,81061,14.99,,,,,,
840,Laser Maze Jr.,19275010447,THINK FUN (BINARY ARTS),1044,29.99,,,,,,
841,Squirt Shark,10984001139,Play Visions Inc.,SQSH,5.99,,,,,,
842,Colossal Tree Frog Squirt,10984000958,Play Visions Inc.,SQCF,5.99,,,,,,
852,Houdini Brainteaser,19275073008,THINK FUN (BINARY ARTS),7300,19.99,,,,,,
876,Construction Worker-Aqua/White,4.0017E+12,Bruder Toys of America,60003,11.99,,,,,,
877,"Move over, Rover!",9.78015E+12,Houghton Mifflin Co.,9.78015E+12,16,,,,,,
878,"Good Dog, Carl",9.78069E+12,Simon & Schuster,9.78069E+12,7.99,,,,,,
879,Construction Worker-Tan/Blue,4.0017E+12,Bruder Toys of America,60006,11.99,,,,,,
881,Construction Worker w/Jackhamm,4.0017E+12,Bruder Toys of America,60020,15.99,,,,,,
882,Construction Worker w/Chainsaw,4.0017E+12,Bruder Toys of America,60030,15.99,,,,,,
884,MB Arocs Truck w/Roll-Off Cont,4.0017E+12,Bruder Toys of America,3622,79.99,,,,,,
886,MB Arocs Truck w/Crane & Palle,4.0017E+12,Bruder Toys of America,3651,99.99,,,,,,
887,JCB 5CX eco Backhoe Loader,4.0017E+12,Bruder Toys of America,2454,69.99,,,,,,
888,Bear Snores On,9.78069E+12,Simon & Schuster,9.78069E+12,16.99,,,,,,
892,Bear Snores On BB,9.78142E+12,Simon & Schuster,9.78142E+12,7.99,,,,,,
894,Bear's New Friend,9.78069E+12,Simon & Schuster,9.78069E+12,17.99,,,,,,
896,Brambly Wilfred to Rescue,9.78142E+12,Simon & Schuster,141690901Xdisc,15.95,,,,,,
898,Click Clack Moo,9.78069E+12,Simon & Schuster,9.78069E+12,16.99,,,,,,
900,JCB Micro Excavator 8010 ctS,4.0017E+12,Bruder Toys of America,62003,17.99,,,,,,
904,John Deere Tractor 5115 M,4.0017E+12,Bruder Toys of America,9814,29.99,,,,,,
905,"I Love You, Good Night",9.78069E+12,Simon & Schuster,9.78069E+12,7.99,,,,,,
908,Olivia,9.78069E+12,Simon & Schuster,9.78069E+12,7.99,,,,,,
910,Olivia's Opposites,9.78069E+12,Simon & Schuster,9.78069E+12,6.99,,,,,,
912,Seeing Stars,9.78142E+12,Simon & Schuster,1416903615dsic,9.99,,,,,,
913,Pufferfish Squishable,,Squishable,742988,19.99,,,,,,
914,LMNO Peas,9.78144E+12,Simon & Schuster,9.78144E+12,7.99,,,,,,
915,Stone Soup,9.78068E+12,Simon & Schuster,9.78068E+12,17.99,,,,,,
916,Hippos Go Berserk!,9.78069E+12,Simon & Schuster,9.78069E+12,7.99,,,,,,
917,Wolves,9.78142E+12,Simon & Schuster,1416914919disc,15.95,,,,,,
925,"Pick Me Up, Mama",9.78148E+12,Simon & Schuster,9.78148E+12,5.99,,,,,,
930,Sleepyhead,9.78144E+12,Simon & Schuster,9.78144E+12,7.99,,,,,,
935,Owl Squishable,,Squishable,767356,8.99,,,,,,
943,Travel Bingo,6.89197E+11,eeBoo,BOTR3,11.99,,,,,,
949,Snazzy Sparkle Rainbow Wings,7.71877E+11,Creative Education of Canada,16400,14.99,,,,,,
951,Life on Earth Memory Game,6.89197E+11,eeBoo,MGLOE,15.99,,,,,,
956,No Two Alike,9.78148E+12,Simon & Schuster,9.78148E+12,7.99,,,,,,
967,Horse Ranch Music Box,56298104234,<< Reeves International (see brands) >>,B1023,29.99,,,,,,
968,Biggest Kiss,9.78148E+12,Simon & Schuster,9.78148E+12,7.99,,,,,,
971,Bear's New Friend,9.78142E+12,Simon & Schuster,9.78142E+12,7.99,,,,,,
972,Dogs Don't Do Ballet,9.78142E+12,Simon & Schuster,9.78142E+12,16.99,,,,,,
975,Horse Tooth Box,5.62981E+11,<< Reeves International (see brands) >>,TFB216,5.99,,,,,,
976,Opposites,9.78067E+12,Simon & Schuster,9.78067E+12,5.99,,,,,,
978,Horns to Toes,9.78067E+12,Simon & Schuster,9.78067E+12,5.99,,,,,,
979,Cat in the Hat,9.78039E+12,"Random House, Inc.",9.78039E+12,8.99,,,,,,
981,Adventures of Dish and Spoon,9.78038E+12,"Random House, Inc.",9.78038E+12,16.95,,,,,,
983,Bear Sees Colors,9.78144E+12,Simon & Schuster,9.78144E+12,16.99,,,,,,
987,Triumph M-Gears,,Learning Resources,LER-9435-D,19.99,,,,,,
989,Frederick,9.78039E+12,"Random House, Inc.",9.78039E+12,16.95,,,,,,
990,Go Dog Go!,9.78039E+12,"Random House, Inc.",9.78039E+12,8.99,,,,,,
991,Happy Lion Roars,9.78038E+12,"Random House, Inc.",9.78038E+12,15.95,,,,,,
992,Happy Lion,9.78038E+12,"Random House, Inc.",9.78038E+12,14.95,,,,,,
993,Rover M-Gears,,Learning Resources,LER-9436-D,19.99,,,,,,
994,Krunch M-Gears,,Learning Resources,LER-9437-D,19.99,,,,,,
998,Unicorn,6.70983E+11,"Jellycat, Inc.",BAS3UUS,19.99,,,,,,
1001,Donkey,6.70983E+11,"Jellycat, Inc.",FW6DK,19.99,,,,,,
1003,Lisa's Baby Sister,9.78038E+12,"Random House, Inc.",9.78038E+12,9.95,,,,,,
1004,Larry Lizard,6.70983E+11,"Jellycat, Inc.",LA3LZ,17.99,,,,,,
1006,Floosie Flamingo,6.70983E+11,"Jellycat, Inc.",FL2FL,26.99,,,,,,
1007,Oh the Places You'll Go,9.78068E+12,"Random House, Inc.",9.78068E+12,17.99,,,,,,
1008,"One Fish, Two Fish, Red Fish,",9.78039E+12,"Random House, Inc.",9.78039E+12,8.99,,,,,,
1009,Little Train,9.78038E+12,"Random House, Inc.",9.78038E+12,6.99,,,,,,
1010,Silver Hoppity Bunny,6.70983E+11,"Jellycat, Inc.",HOP6S,12.99,,,,,,
